AL_load_actual_entsoe_power_statistics,AT_load_actual_entsoe_power_statistics,BA_load_actual_entsoe_power_statistics,BE_load_actual_entsoe_power_statistics,BG_load_actual_entsoe_power_statistics,CH_load_actual_entsoe_power_statistics,CY_load_actual_entsoe_power_statistics,CZ_load_actual_entsoe_power_statistics,DE_load_actual_entsoe_power_statistics,DK_load_actual_entsoe_power_statistics,EE_load_actual_entsoe_power_statistics,ES_load_actual_entsoe_power_statistics,FI_load_actual_entsoe_power_statistics,FR_load_actual_entsoe_power_statistics,GR_load_actual_entsoe_power_statistics,HR_load_actual_entsoe_power_statistics,HU_load_actual_entsoe_power_statistics,IE_load_actual_entsoe_power_statistics,IT_load_actual_entsoe_power_statistics,LT_load_actual_entsoe_power_statistics,LU_load_actual_entsoe_power_statistics,LV_load_actual_entsoe_power_statistics,ME_load_actual_entsoe_power_statistics,MK_load_actual_entsoe_power_statistics,NL_load_actual_entsoe_power_statistics,NO_load_actual_entsoe_power_statistics,PL_load_actual_entsoe_power_statistics,PT_load_actual_entsoe_power_statistics,RO_load_actual_entsoe_power_statistics,RS_load_actual_entsoe_power_statistics,SE_load_actual_entsoe_power_statistics,SI_load_actual_entsoe_power_statistics,SK_load_actual_entsoe_power_statistics,TR_load_actual_entsoe_power_statistics,UK_UKM_load_actual_entsoe_power_statistics
624.82,8947,1291,9775,4364.52,6244,426.28,8116,62299.95918,3625.7,1042.3,24652,10386.54,49263,5131,1913,5165.97,2399.57,34483,1506,658.84,927,321,604,11920,15439,18924.4898,4406,6622,3898,16769,1735,3550.5,28946.29,30041.25
783.42,9631,1494,10940,4538.36,7021,471.3,8625,68751.96939,4218.7,1111.3,28310,10441.69,54092,5540,2114,5453.2,2752.31,40467,1590,730.55,1026,369,662,13580,16946,20545.91837,4719,6872,4367,18206,1866,3715.88,32834.29,36488.26
877.14,9695,1561,11065,4526.74,7269,503.81,8678,69867.10204,4504.1,1141,30350,10495.13,54006,5888,2158,5415.76,3387.17,44158,1620,768.61,1059,366,708,14862,17245,21181.63265,5281,6851,4517,18400,1894,3760.31,34703.49,44560.49
882.81,9603,1574,10986,4303.03,7327,527.56,8765,69555.91837,4598.6,1127.2,30871,10407.97,54721,6066,2161,5432.93,3668.09,45376,1606,814.37,1043,367,725,15224,17045,21287.7551,5935,6697,4476,18694,1843,3756.3,34922.33,46393.96
861.51,9601,1531,10997,4166.02,7330,536.48,8640,70405.23469,4691.8,1109,31151,10351.29,54807,6237,2119,5409.75,3711.48,45081,1585,837.48,1015,362,718,15173,16859,21176.53061,6163,6588,4410,19031,1877,3653.48,35266.71,46821.13
845.36,9508,1498,11001,4009.96,7411,539.88,8594,70655.63265,4674,1077.8,31570,10400.3,55287,6300,2151,5406.34,3706.38,44312,1563,817.78,977,360,705,14986,16378,21354.08163,6292,6495,4365,18016,1873,3649.85,33439.19,46853.29
837.48,9091,1479,10696,4030.78,6865,543.18,8624,69585.72449,4590,1096.1,31850,10312.33,54952,6190,2137,5377.24,3746.81,41725,1577,906.57,994,356,692,14745,16092,21384.69388,6426,6543,4289,17763,1909,3624.99,34208.01,46677.73
838.98,8947,1460,10621,4058.4,6822,535.33,8520,68475.07143,4575.3,1081.6,31685,10250.62,53399,5900,2079,5324.26,3790.51,41625,1557,877.91,982,352,685,14577,15821,21298.97959,6317,6477,4252,17210,1839,3611.67,35007.69,46779.08
813.36,8806,1502,10433,4111.33,6777,540.27,8368,67482.82653,4494.8,1071.9,30528,10151.82,52266,5542,2024,5320.04,3763.37,43161,1530,854.4,967,347,717,14613,15809,21022.44898,6237,6371,4162,17185,1799,3555.98,35014.36,46748.73
783.89,8797,1491,10506,4152.95,6757,541.93,8378,66636.62245,4372.3,1050.8,29905,10124.86,50963,5400,1971,5342.88,3736.01,43419,1483,876.31,950,343,700,14746,15837,20669.38776,6369,6329,4134,17284,1744,3536.13,35048.07,46554.18
766.33,8810,1476,10472,4176.96,6567,550.05,8339,65592.78571,4340.4,1044,29632,10192.64,49839,5382,1953,5309.92,3771.91,43401,1451,851.85,926,341,678,14903,15992,20285.71429,6296,6382,4165,17112,1761,3530.98,35435.1,46719.4
812,9251,1469,10800,4525.91,6510,567.75,8364,66417.04082,4604.7,1099.3,29787,10624.75,50167,5612,1988,5339.23,3829.31,42702,1501,885.77,975,345,713,15246,16097,20612.2449,6250,6662,4337,17757,1750,3576.51,36246.71,49208.37
943.93,9741,1667,11267,5043.63,6987,612.52,8661,69815.29592,4705.6,1125.3,29732,10873.32,54275,6287,2249,5683.3,3963.2,44678,1612,854.35,1010,394,823,15186,16440,21879.59184,6146,7366,4970,18112,1864,3803.59,35872.37,51017.71
975.81,9185,1706,11384,4805.85,7111,621.21,8668,71609.73469,4461.7,1088.6,30957,10702.06,55371,6266,2406,5694.41,4079.15,46923,1575,931.96,973,404,843,15665,16317,22198.97959,6210,7361,5063,17928,1963,3801.44,34887.27,52373.29
922.12,8552,1640,10794,4587.64,6742,581.06,8348,67610.32653,4272.1,1029.9,32728,10241.32,50872,5877,2331,5447,4058.95,44020,1474,855.67,920,398,816,15238,16201,21566.32653,6753,6931,4928,17332,1848,3730.96,33907.42,50139.07
816.75,7824,1557,10211,4294.36,6338,533.71,7800,63044.2551,3979.2,944.8,31680,10160.13,47742,5327,2166,5094.5,3882.15,40607,1318,808.25,832,385,782,14369,15921,20043.87755,6591,6231,4811,16694,1683,3489.49,33354.32,46467.42
751.28,7574,1402,9948,3993.24,6101,484.58,7310,58582.29592,3649.6,856.4,28579,9970.08,50295,5056,2031,4805.36,3592.18,36704,1188,786.34,745,360,814,13370,15287,18431.63265,6146,5704,4531,15677,1605,3284.44,31781.37,42329.82
633.38,6917,1266,9520,3660.37,5898,438.23,6909,53954.71429,3252,808.3,26376,9522.25,49178,4680,1820,4661.27,3175.64,33610,1115,728.54,679,342,754,12502,14557,17087.7551,5734,5369,4251,14651,1472,3128.96,29532.02,37067.7
550.62,6525,1150,8903,3411.17,5960,398.7,6571,50573.73469,3030.2,777.7,24889,9203.62,43875,4376,1593,4417.34,2828.42,30315,1066,645.96,644,332,645,11679,13889,16028.57143,5239,5237,3855,14021,1434,3031.13,28159.75,32148.42
513.83,6286,1074,8522,3295.55,6097,372.68,6583,48715.79592,2897.2,763.4,23662,9023.55,42454,4214,1472,4234.46,2668.35,28249,1021,609.83,620,306,557,11027,13362,15629.59184,4867,5108,3482,13662,1333,2930.7,27170.38,29028
493.71,6092,1034,8194,3253.34,6258,359.53,6430,47531.06122,2835.7,755.1,22873,8977.67,40531,4113,1408,4028.18,2535.76,27368,1012,588.75,616,286,504,10713,13240,15166.32653,4643,5129,3184,13630,1308,2892.13,26639.05,28612.96
484.3,6025,1019,8090,3271.66,6499,354,6341,47737.43878,2832.8,762.4,22658,9111.87,39131,4117,1395,3968.01,2396.44,27215,1023,574.58,629,278,492,10637,13430,15208.16327,4495,5200,3124,13747,1320,2898.75,26578.59,28341.52
497.49,6335,1013,8182,3437.24,6482,355.41,6420,49412.97959,2911.4,804.5,22658,9500.51,39531,4247,1431,4056.84,2312.01,27488,1091,596.65,676,272,495,10635,13532,15485.71429,4423,5350,3150,13936,1303,2969.42,27024.59,27613.05
546.36,7449,1115,8629,3872.47,6195,378.22,6960,53445.10204,3188.6,926.2,23062,10323.54,42713,4613,1549,4414,2350,29259,1330,633.68,802,288,526,10872,13857,16295.91837,4421,5904,3389,15110,1411,3138.14,27829.35,27512.92
688.19,8911,1306,9746,4332.1,6243,430.08,8186,62896.07143,3688.8,1083.6,25065,10856.95,49478,5119,1899,5194.8,2479.5,34853,1525,691.2,950,310,610,11817,15106,18970.40816,4485,6598,3887,17110,1709,3578.55,29350.61,29335.83
855.95,9625,1494,10895,4496.14,7077,486.44,8651,69664.92857,4206.4,1159.9,28707,10860.95,54730,5501,2108,5480.36,2812.21,40989,1621,775.65,1031,345,665,13547,16645,20515.30612,4823,6814,4367,18764,1844,3781.51,32903.14,35469.05
874.18,9795,1566,11106,4501.65,7404,527.29,8747,71483.54082,4482.1,1184.2,30583,11003.14,54934,5789,2154,5491,3425.6,45053,1652,817.21,1064,361,713,14997,16905,21383.67347,5370,6822,4570,18754,1884,3864.96,34693.81,43604.46
842.54,9604,1574,11140,4295.16,7441,546.9,8857,71800.93878,4601.2,1163,30869,10923.82,55437,5943,2156,5482.06,3680.53,46378,1642,831.01,1036,369,730,15572,16898,21559.18367,5924,6636,4519,18860,1828,3890.07,35190.52,46054.24
819.71,9714,1529,11001,4147.22,7464,553.44,8715,72558.79592,4734.6,1135.6,31341,10821.98,55454,6022,2107,5460.25,3758.53,45902,1621,788.32,1018,365,721,15482,16762,21362.2449,6254,6487,4424,18824,1828,3819.12,35241.87,46241.24
798.09,9613,1504,11050,4008.23,7502,553.55,8681,72920.7449,4737.8,1104.1,31654,10673.29,55818,6124,2140,5418.96,3755.02,45688,1592,849.78,984,360,709,15275,16600,21593.87755,6370,6369,4390,18509,1892,3790.38,32588.22,45029.81
798.86,9243,1476,10883,3993.46,7129,554.43,8671,71752.40816,4738.1,1114.1,31884,10485,55576,6057,2131,5373.6,3740.15,43180,1603,836.23,996,358,705,15174,16447,21527.55102,6538,6431,4325,18129,1901,3784.69,32476.4,44164.94
804.1,8939,1454,10789,3990.09,7080,544.59,8453,70074.09184,4551.6,1096.1,31940,10310.07,53420,5820,2083,5328.61,3726.22,42409,1583,803.95,993,352,684,15264,16167,21505.10204,6340,6350,4251,17620,1868,3717.67,34448.48,43453.25
805.88,8741,1483,10618,3992.87,6941,541.06,8234,68129.02041,4458.8,1078.7,30594,10258.58,51990,5511,2015,5270.28,3671.28,43280,1554,797.5,975,346,715,15362,16036,21045.91837,6228,6262,4173,17335,1782,3636,34479.98,42250.81
779.22,8684,1495,10563,4011.47,6795,542.99,8296,67019.92857,4375.2,1057.4,29992,10259.24,50274,5355,1952,5304.63,3662.4,43629,1524,788.55,960,342,693,15301,16150,20816.32653,6383,6305,4139,17195,1763,3592.37,34645.64,41954.3
761.01,8698,1474,10466,4086.85,6705,553.08,8305,66243.59184,4301.1,1055.5,29659,10406.01,49095,5333,1939,5290.72,3720.1,43397,1515,768.56,946,338,666,15279,16020,20545.91837,6335,6328,4138,17318,1726,3597.97,34813.5,42473.95
806.58,9062,1466,10632,4455.28,6686,566.95,8360,66877.54082,4510.7,1115.1,29508,10895.3,49590,5519,1963,5336.58,3857.03,42753,1566,802.37,996,348,699,15524,16167,20860.20408,6245,6656,4311,17864,1735,3637.95,35666.28,44921.34
944.48,9304,1652,10768,4940.14,6988,609.98,8543,69203.69388,4569.9,1126.6,29211,11046.06,52731,6115,2241,5651.8,4005.22,44547,1605,833.79,1005,392,808,15414,16308,21974.4898,6117,7420,4924,17980,1871,3818.51,35180.22,47497.14
953.96,8754,1690,11029,4760.52,6926,620.04,8451,69444.81633,4270.6,1078.9,30584,10774.79,54458,6104,2380,5619.99,4111.49,46289,1549,876.38,971,402,823,15326,16065,22035.71429,6221,7376,4997,17477,1889,3810.39,34164.63,50024.98
882.78,8028,1628,10561,4471.53,6573,582.61,7999,65024.08163,3958.8,1026.1,32061,10224.1,50474,5735,2298,5370.89,4077.63,43152,1445,864.96,911,394,792,14743,15679,21350,6738,7000,4879,16673,1824,3660.08,33223.6,48115.06
802.62,7399,1523,9924,4175.87,6193,536.3,7400,60575.15306,3705.7,943.6,31122,10250.38,47974,5184,2130,5036.83,3815.88,39663,1308,791.51,822,381,751,13828,15197,19936.73469,6587,6334,4712,15879,1662,3435.26,32780.92,44334.57
718.75,7150,1384,9864,3943.72,6026,494.57,6939,57150.08163,3440.2,866.1,28543,10102.14,50505,4979,2015,4783.07,3570.18,36116,1182,716.4,740,359,775,12975,14679,18319.38776,6179,5875,4465,15146,1549,3231.38,30682.45,40288.47
615.21,6648,1266,9586,3633.53,5710,450.91,6532,52894.45918,3172.6,815.5,26474,9685.45,49509,4649,1815,4666.09,3254.5,33040,1103,662.13,673,340,734,12217,14162,17194.89796,5703,5567,4185,14344,1454,3102.51,29426.58,35781.84
543.87,6268,1145,8859,3417.22,5474,412.17,6151,49115.0102,2925.6,792.6,25193,9342.99,43994,4396,1602,4429.96,3006.07,29877,1058,645.11,641,312,632,10474,13641,16095.91837,5263,5414,3884,13455,1403,2970.17,28030.29,31033.46
511.14,5973,1070,8409,3295.53,5489,387.18,6004,46709.26531,2780.7,769.6,23780,9108.41,42320,4223,1480,4203.79,2859.93,27979,1030,609.13,620,283,554,9747,13268,15517.34694,4848,5296,3510,13419,1340,2824.83,26896.05,27252.02
494.3,5838,1043,8127,3210.34,5560,370.81,5954,45202.93878,2703.3,757.2,22836,9031.23,39815,4121,1415,3993.92,2667.43,26776,1009,608.41,607,266,500,10151,13078,15096.93878,4579,5239,3265,13300,1331,2805,26247.53,26129.59
493.71,5683,1021,7927,3225.24,5522,360.65,5965,44917.95918,2679.8,756.7,22154,9018.14,37745,4100,1391,3905.45,2500.93,26417,1006,599.4,613,255,481,10885,12999,14966.32653,4401,5250,3130,13392,1295,2803.25,25992.06,25302.86
500.76,5798,1033,7851,3280.68,5540,360.31,6000,45533.89796,2684.3,772.6,21928,9242.87,37157,4135,1399,3937.01,2425.36,26013,1034,586.61,643,253,482,10402,12923,14960.20408,4268,5326,3133,13436,1276,2793.18,26181.26,24072.53
546.37,6254,1076,7985,3470.33,5726,372.68,6030,46339.93878,2759.2,804.8,21783,9637.96,38449,4299,1477,4051.63,2387.97,26754,1119,590.91,687,262,506,9782,13047,15187.7551,4217,5581,3255,13559,1294,2850.02,26620.53,23408.34
656.01,6848,1201,8189,3694.33,5521,385.92,6444,49001.82653,2924.8,869.8,22041,9840.44,40477,4471,1674,4385.19,2413.93,29588,1222,620.44,746,280,551,9659,13335,16403.06122,4217,5920,3539,14134,1453,3010.17,27398.99,24297.56
803.75,7489,1391,8674,4021.95,5731,425.38,6828,52751.96939,3239,917.1,23373,9897.11,43125,4834,1806,4648.48,2569.01,33185,1312,638.53,807,311,579,9719,13813,17329.59184,4315,6169,3934,14787,1590,3154.98,30168.24,27356.29
910.34,7984,1536,9149,4165.13,5843,465.33,7121,56246.61224,3493,986.4,24508,10112.28,44963,5307,1922,4831.88,2815.56,35819,1403,651.82,868,348,645,9847,14429,18463.26531,4413,6272,4301,15210,1687,3342.63,32587.25,31425.26
928.07,8205,1587,9611,4022.28,5989,485.07,7426,58903.17347,3741.2,996.1,26224,10213.25,46975,5562,1983,4979.08,3088.03,37536,1451,697.8,884,368,685,10729,15029,19225.5102,4691,6210,4430,15978,1715,3488.81,33221.5,34928.83
909.1,8266,1567,9805,3938.28,5953,487.45,7615,60340.63265,3851.9,980.2,27730,10161.37,47746,5770,1975,5047,3350.9,37201,1470,724.53,870,369,685,11991,15354,19545.91837,5097,6099,4422,16330,1725,3535.79,33684.99,36098.72
910.32,8260,1549,9931,3862.62,5963,485.79,7688,61110.97959,3831.4,954.8,28061,10067.15,48847,5903,2011,5064.37,3523.96,36289,1468,742.34,855,364,681,12130,15255,19751.02041,5251,6010,4366,16305,1727,3619.71,31997.93,35618.6
892.77,7887,1514,9745,3841.84,5924,486.02,7517,60084.33673,3968.6,938.2,28055,9887.5,50237,5881,1985,4994.81,3598.48,34201,1454,723.09,849,361,674,11696,15168,19479.59184,5385,5962,4342,16054,1691,3590.63,32327.16,35343.15
886.58,7594,1493,9379,3738.54,6027,481.73,7405,58011.92857,3878,927.3,28057,9813.13,47524,5574,1916,4862.39,3628.95,32701,1420,709.05,832,357,669,11509,15060,19198.97959,5416,5785,4229,15660,1641,3482.06,32365.62,35297.06
864.32,7423,1501,9113,3709.49,6119,470.48,7258,56373.56122,3732.3,922.1,27210,9882.62,45846,5221,1834,4786.87,3564.73,31819,1396,690.25,824,350,709,10912,14949,18487.7551,5238,5756,4107,15554,1571,3386.82,32163.02,34721.54
838.36,7328,1487,8982,3753.15,5866,474.8,7261,55623.86735,3693.3,916.5,25867,10100.75,44342,5066,1783,4766.19,3474.33,31902,1385,694.26,820,343,689,10158,14873,18264.28571,5145,5802,4013,15472,1504,3319.62,32058.77,34722.04
841.68,7376,1462,9027,3891.35,5935,492.95,7118,55348.90816,3815,944.2,24977,10352.47,43427,5097,1774,4798.24,3448.67,32231,1390,683.96,827,340,659,10592,15046,18056.12245,5018,5986,4018,15692,1467,3334.2,32419.41,35666.91
866.27,7769,1471,9281,4250.37,5891,509.22,6972,56839.44898,4144,1021.9,24713,10979.98,44311,5340,1826,4906.7,3521.65,32886,1448,767.17,887,348,692,11663,15537,18460.20408,4901,6409,4208,16462,1508,3341.29,34053.03,38617.9
989.21,8090,1663,9671,4636.36,6170,560.28,7297,59660.86735,4275.9,1046.3,24784,11066.85,48328,5996,2110,5176.54,3712.34,36491,1490,802.17,920,395,803,12112,15771,19571.42857,4879,7082,4846,16855,1654,3456.22,33865.88,42505.88
1007.89,7648,1689,10017,4460.96,6225,579,7255,59524.2449,4004.3,1001.2,26456,10695.13,50204,5917,2211,5173.69,3860.81,39116,1442,780.98,901,407,810,11765,15491,19543.87755,5046,7056,4913,16362,1673,3423.29,32855.96,45132.82
939.76,7150,1612,9634,4184.14,5897,551.82,7019,55880.87755,3700.2,961.5,28285,10168.38,46993,5549,2133,4934.29,3814.36,36595,1368,804.43,853,397,771,11514,14940,18837.7551,5789,6643,4774,15716,1620,3351.19,31912.87,43033.42
837.32,6694,1500,9193,3936.45,5660,516.13,6645,52490.91837,3471.4,901,27949,10186.68,45023,5120,1987,4649.2,3604.27,33576,1259,753.46,785,379,736,11705,14579,17662.2449,5672,6080,4569,14972,1503,3187.54,31629.28,39797.5
722.9,6539,1366,8948,3746.17,5577,481.66,6354,50246.89796,3227,836.9,26180,10121.43,48353,4827,1898,4410.26,3334.37,31051,1158,685.23,717,360,751,11650,14218,16693.87755,5316,5633,4332,14349,1398,2992.73,30000,36373.54
617.44,6048,1246,8721,3478.74,5717,442.53,6033,46682.06122,3053,805.3,24444,9644.04,48011,4462,1712,4219.08,3055.98,28589,1083,722.65,664,339,705,11383,13812,15492.85714,4999,5287,4115,13925,1255,2872.01,27772.83,32781.29
549.34,5710,1143,8165,3288.63,5775,407.85,5694,43331.87755,2856.1,776.7,22940,9367.94,43344,4183,1528,3925.36,2846.74,26031,1039,667.62,641,310,616,9964,13544,14505.10204,4651,5046,3867,13388,1206,2818.41,26608.09,28897.64
509.23,5427,1074,7766,3140.16,5882,384.32,5545,41570.54082,2721.2,759.5,21647,9200.38,41956,4012,1407,3772.88,2743.37,24296,1010,632.44,620,283,542,8793,13184,13860.20408,4347,4910,3525,13156,1149,2692.39,25472.72,25803.84
491.04,5320,1022,7502,3095.89,6083,367.02,5521,40558.44898,2656.3,747.5,20675,9092.83,39498,3888,1341,3609.09,2561.14,23309,982,572.13,604,266,494,8092,13110,13509.18367,4094,4894,3227,13016,1127,2640.51,24867.16,25048.34
492.64,5221,1002,7401,3081.94,6025,360.74,5545,40337.44898,2630.8,743.2,20132,9078.34,37390,3883,1306,3553.17,2407.68,22683,979,559.67,608,257,472,7813,13050,13387.7551,3935,4930,3016,12908,1143,2645.34,24557.71,24584.22
496.62,5230,1007,7392,3144.81,6051,358.99,5590,40768.40816,2638.3,756.3,19854,9137.92,36666,3886,1312,3565.34,2325.78,22573,1000,557.11,633,252,467,7490,13011,13335.71429,3832,4988,2994,12859,1139,2653.43,24407.72,23553.04
536.42,5505,1039,7501,3284.39,5916,365.76,5551,41159.22449,2691.8,785.8,19824,9333.89,37252,3977,1357,3632.91,2270.64,22954,1067,550.75,669,260,480,7838,13108,13420.40816,3794,5083,3060,13175,1139,2692.74,24246.97,22837.75
629.12,5843,1100,7692,3433.84,5974,368.2,5777,42137.76531,2827.3,832.4,20119,9455.92,38571,4028,1482,3861.8,2285.89,23994,1140,560.8,718,280,521,8428,13336,13864.28571,3793,5207,3301,13722,1207,2816.62,23580.57,22787.78
763,6414,1225,8008,3770.19,5280,390.2,6063,44391.06122,3094,870.8,20681,9452.33,40176,4283,1574,4074.66,2390.89,24974,1193,549.93,765,309,568,9418,13606,14146.93878,3858,5367,3597,14192,1349,2959.37,24419.58,24535.24
869.73,6864,1377,8370,3968.33,5592,409.32,6477,47509.82653,3348.8,931.7,21035,9628.74,41875,4660,1688,4363.94,2530.99,26369,1319,594.17,834,362,667,9984,13968,15025.5102,3850,5470,3960,15172,1473,3180.77,25923.67,27585.8
900.1,7379,1466,8832,3943.71,5680,427.78,6991,50737.29592,3588.7,974.4,22396,9852.35,44598,5036,1830,4613.64,2739.07,28797,1372,620.34,865,389,732,10264,14378,16158.16327,3960,5359,4254,15449,1580,3417.02,26922.66,30864.5
905.26,7812,1486,9109,3885.32,5869,439.65,7442,53469.34694,3707,966.2,23853,9964.64,46308,5384,1957,4745.19,3024.39,30396,1389,664.22,866,405,752,10586,14803,16802.04082,4329,5357,4280,15867,1650,3490.75,27873.66,33389.83
899.48,8002,1471,9389,3821.63,6024,444.54,7592,55997.86735,3758.4,948.6,24534,9865.52,47797,5554,2041,4793.83,3248.3,31275,1390,682.81,855,395,753,10544,14989,17014.28571,4603,5367,4318,16124,1717,3561.6,27210.1,34575.78
889.29,7608,1444,9397,3781.17,6032,448.04,7329,55644.44898,3737.4,932.8,24792,9823.86,49046,5454,2031,4731.57,3351.72,31291,1380,687.35,841,392,744,10795,14902,17129.59184,4837,5314,4254,16082,1717,3439.92,27314.49,34705.26
883.42,7294,1415,9120,3688.18,5983,437.98,7157,53302.44898,3634.3,925.6,25052,9765.36,45517,5026,1941,4612.64,3413.48,29684,1369,659.21,829,373,739,10811,14958,17177.55102,4992,5267,4150,15990,1598,3337.13,27644.4,35063.99
846.98,7109,1389,8828,3694.37,6015,431.03,7122,51698.82653,3611.4,922.6,24930,9783.39,43546,4709,1833,4607.87,3359.51,28949,1354,644.25,823,362,724,10810,14968,16765.30612,4826,5264,4009,15832,1540,3279.5,27725.83,34910.74
820.41,7015,1389,8811,3823.67,5968,436.54,7211,50856.20408,3580.1,947.6,23803,9841.61,42251,4589,1782,4607.46,3258.36,28884,1350,636.98,833,355,706,10731,15057,16432.65306,4660,5357,3896,15913,1457,3238.69,27887.68,34823.26
835.64,7170,1427,8839,4014.15,5954,457.81,7111,51017.0102,3715.6,980.3,22983,10060.67,41526,4618,1781,4649.01,3196.39,28604,1374,620.25,854,352,702,11722,15046,16395.91837,4542,5566,3941,16150,1460,3269.18,28962.05,35386.19
879.16,7745,1509,9140,4465.96,5867,486.56,7087,53290.93878,4153.3,1066.8,22759,10706.44,43016,4903,1881,4789.83,3243.52,28888,1468,643.33,934,367,750,11703,15189,16980.61224,4458,6077,4230,16984,1497,3308.27,31232.47,38473.64
1015.54,8066,1654,9670,4869.79,6386,541.18,7519,57101.44898,4379.9,1073.9,23089,10789.08,48527,5616,2059,4967.83,3405.99,32010,1509,679.08,965,412,862,11492,15576,18242.85714,4501,6632,4829,17429,1628,3444.81,31505.72,42085.74
1045.52,7676,1666,10090,4696.12,6473,562.06,7509,57628.88776,4144.2,1031.2,25118,10653.35,51361,5629,2107,4896.37,3672.17,34730,1461,702.16,947,424,871,11739,15660,18409.18367,4749,6560,4883,17186,1662,3459.66,30957.65,45247.05
982.86,7268,1605,9800,4360.8,6182,541.52,7248,55154.78571,3867.3,977.6,27654,10220.13,48836,5342,2039,4710.53,3707.6,33879,1375,679.96,891,418,822,11277,15503,17987.7551,5496,6229,4785,16696,1582,3405.18,30185.74,43673.03
861.23,6935,1506,9344,4104.29,5868,508.61,6907,53165.61224,3606.6,907.1,27690,10326.24,46815,4980,1916,4466.26,3513.22,31799,1255,644.82,808,403,783,10532,15136,17014.28571,5539,5749,4596,15808,1507,3205.18,30139.92,41131.55
743.51,6900,1365,9123,3873,5754,467.88,6697,52386.67347,3330.2,835.4,26195,10265.23,49956,4692,1865,4244.36,3277.59,29471,1134,623.07,727,379,740,10161,14706,16204.08163,5235,5292,4417,14923,1412,3083.46,28237.9,38289.06
626.67,6426,1216,8768,3481.47,5494,424.08,6392,48950.92857,3056.4,783.1,24494,9777.23,49288,4278,1663,4064.33,2977.56,27193,1060,598.06,654,349,678,10043,14140,15182.65306,4953,5019,4210,14236,1305,2950.16,26869.35,34925.22
537.74,6173,1089,8220,3232.16,6322,390.27,6222,46214.38776,2849.8,761,22834,9398.87,44652,3978,1475,3810.04,2685.75,24505,996,561.75,627,306,597,9153,13539,14361.22449,4586,4867,3888,13576,1241,2890.47,25371.82,30606.55
494.49,6037,1018,7821,3123.73,6537,369.56,6307,44683.55102,2744.4,750.1,21705,9267.99,43299,3856,1364,3656.56,2571.77,22904,977,547.78,614,278,529,8195,13263,13840.81633,4298,4804,3543,13496,1178,2799.41,24608.28,27999.58
484.27,5989,996,7615,3109.99,6652,359.03,6165,44000.30612,2726.3,743.7,21025,9226.11,40986,3823,1315,3529.27,2415.99,22324,972,475.37,614,266,484,7985,13230,13694.89796,4121,4792,3279,13419,1190,2763.04,24099.18,27974.71
479.41,6021,971,7566,3130.15,6683,352.75,6107,44557.83673,2772.4,750.3,20816,9320.81,39431,3815,1308,3418.8,2326.19,22034,992,476.83,630,254,465,7798,13284,13759.18367,4007,4867,3141,13542,1176,2764.28,24115.97,27822.62
485.67,6377,991,7743,3289.97,6692,358.42,6213,46650.67347,2825.4,784.7,20842,9744.09,40187,3947,1344,3431.76,2316.55,22648,1060,514.68,677,221,458,7630,13521,14135.71429,3954,5076,3168,13770,1202,2837.18,24500.55,27321.13
510.69,7464,1067,8352,3820.37,7082,382.01,6769,51650.85714,3066.9,910,21435,10664.37,43967,4355,1486,3499.27,2284.32,24880,1320,596.3,784,253,472,7742,14155,15001.02041,3966,5759,3361,14770,1327,3050.07,25648.08,27207.4
628.51,8978,1268,9488,4297.57,6744,434.72,8073,61312.18367,3765.4,1060.6,24127,11315.89,49922,4918,1857,3648.34,2378.39,31557,1531,675.77,932,289,517,8759,15498,18227.55102,4071,6661,3869,16326,1648,3562.33,27343.91,29025.39
784.52,9744,1493,10654,4495.39,7392,500.25,8616,68585.20408,4476.8,1154.5,27930,11276.43,55258,5304,2125,3858.05,2726.53,38343,1662,751.59,1032,330,542,10852,17137,20245.91837,4492,7074,4407,18602,1823,3790.11,31584.88,35238.33
822.54,9917,1601,10948,4574.28,7788,541.78,8727,71171.12245,4657.4,1204.3,30181,11338.55,56757,5679,2222,4182.09,3406.69,42750,1717,811.6,1087,355,610,12370,17595,21338.77551,5055,7269,4710,19082,1865,3918.94,33663.04,42615.87
812.48,10108,1648,11061,4489.72,7872,553.37,8849,71501.10204,4678.7,1212.3,30833,11338.35,58152,5871,2277,4483.13,3632.17,44339,1725,826.43,1095,375,671,13118,17628,21633.67347,5649,7243,4857,19202,1874,3970.31,34090.93,46348.14
805.7,10302,1640,11114,4427.1,8042,557.44,8743,72613.52041,4761.7,1193.2,31084,11311.55,58628,5972,2250,4672.04,3647.01,44208,1715,891.95,1073,370,718,13232,17286,21663.26531,5969,7155,4882,19046,1867,3942.76,34142.27,46946.37
818.23,10267,1627,11136,4335.31,8146,556.62,8763,73681.46939,4754.2,1164.5,31300,11281.33,59299,6032,2293,4711.05,3644.71,43499,1685,898.96,1047,378,729,13034,17109,21917.34694,6058,7146,4932,18929,1903,3982.95,32615.44,46673.85
818.04,10070,1612,10887,4417.21,7676,552.01,8884,73012.9898,4687.4,1174.4,31684,11049.88,58952,5943,2274,4653.32,3666.25,41877,1695,929.92,1050,375,718,12683,16857,21973.46939,6199,7189,4864,18444,1924,3991.1,32733.86,46591.51
829.77,10000,1591,10843,4449.17,7674,545.93,8844,72128.21429,4701.7,1157.2,31437,11005.58,57630,5799,2205,4557.23,3724.66,41125,1667,852.99,1042,370,718,12716,16928,21992.85714,6058,7118,4847,18280,1876,3978.62,34103,46629.85
